,after 72,,,,tidyversion,,,,
worms,agar,worms,,,,cz,z,c,ngm
,cz,402,,,trial 1,402,312,294,232
,z,312,,,trial 2,98,53,42,66
,c,294,,,trial 3,162.75,110,146,39
,ngms,232,,,,,,,
,,,,,,,,,
trial 2,after 72,,,,,,,,
,agar,worms,,,,,,,
,cz,98,,,,,,,
,z,53,,,,,,,
,c,42,,,,,,,
,ngms,66,,,,,,,
,,,,,,,,,
trial 3,after 72,,,,,,,,
,agar,worms,,,,,,,
,cz,162.75,,,,,,,
,z,110,,,,,,,
,c,146,,,,,,,
,ngms,39,,,,,,,
,,,,,,,,,
,,,,,,,,,
